source,titre,prix_eur,surface_m2,quartier,type_bien,description,url,date_scrape
SeLoger,1 / 10 A 211 000 € 3 403 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 62 m² · RDC/2 Toulon (83000) CABINET 3000,211000.0,62.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/261450009.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 8 D 242 000 € 4 703 €/m² Investissez dans l'immobilier Appartement à vendre 2 pièces · 1 chambre · 51,5 m² · Étage 1/4 Cap Brun , Toulon (83000) Exclusivité",242000.0,51.5,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/cap-brun/258514345.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,1 / 6 Nouveau D 229 000 € 2 793 €/m² Investissez dans l'immobilier Appartement à vendre 3 pièces · 2 chambres · 82 m² · Étage 4/7 Toulon (83000) CABINET 3000,229000.0,82.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/262267335.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 10 C 317 000 € 4 284 €/m² Découvrez les options de financement Appartement à vendre 5 pièces · 3 chambres · 74 m² · RDC Valbertrand, Toulon (83200) Agence G",317000.0,74.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/valbertrand/257652133.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 4 Nouveau C 160 000 € 4 848 €/m² Découvrez les options de financement Appartement à vendre 2 pièces · 1 chambre · 33 m² · Étage 4/4 Mourillon-Sud, Toulon (8",160000.0,33.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/262566591.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,1 / 14 C 473 000 € 5 565 €/m² Découvrez les options de financement Maison à vendre 4 pièces · 2 chambres · 85 m² · 333 m² de terrain Toulon (83000) Exclusivité ,473000.0,85.0,,Maison,,https://www.seloger.com/annonces/achat/maison/toulon-83/258559999.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 6 C 225 000 € 3 462 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 65 m² · 3ème étage Le Jonquet, Toulon (83200) AGE",225000.0,65.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/le-jonquet/261643083.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,1 / 6 D 95 000 € 3 519 €/m² Investissez dans l'immobilier Appartement à vendre 1 pièce · 27 m² · 1er étage Toulon (83000) Exclusivité Immo center,95000.0,27.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/256438387.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 7 C 230 000 € 4 508 €/m² Investissez dans l'immobilier Appartement à vendre 2 pièces · 1 chambre · 51 m² · Étage 2/3 Mourillon-Centre, Toulon (83000) ROYAL ",230000.0,51.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/mourillon-centre/249200591.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 7 D 259 000 € 2 643 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 2 chambres · 98 m² · 7ème étage Champ de Mars, Toulon (83000) ",259000.0,98.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/champ-de-mars/261188691.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
