date_mutation,nature_mutation,valeur_fonciere,prix_m2,code_postal,nom_commune,code_departement,code_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
2024-02-20,Vente,75000.0,1666.6666666666667,83200,TOULON,83,83137,Appartement,45,2,
2024-02-20,Vente,210000.0,3387.0967741935483,83000,TOULON,83,83137,Appartement,62,4,
2024-02-20,Vente,124500.0,4150.0,83000,TOULON,83,83137,Appartement,30,1,
2024-02-20,Vente,190000.0,1696.4285714285713,83200,TOULON,83,83137,Appartement,112,7,
2024-02-20,Vente,141750.0,2084.5588235294117,83000,TOULON,83,83137,Appartement,68,4,
2024-02-20,Vente,150000.0,3846.153846153846,83000,TOULON,83,83137,Appartement,39,2,
2024-02-20,Vente,180000.0,5625.0,83000,TOULON,83,83137,Appartement,32,1,
2024-02-21,Vente,171000.0,2137.5,83000,TOULON,83,83137,Appartement,80,4,
2024-02-21,Vente,310000.0,5438.596491228071,83000,TOULON,83,83137,Maison,57,3,144.0
2024-02-21,Vente,41175.0,3743.181818181818,83000,TOULON,83,83137,Appartement,11,1,
2024-02-21,Vente,145000.0,3222.222222222222,83000,TOULON,83,83137,Appartement,45,2,
2024-02-21,Vente,140000.0,2153.846153846154,83200,TOULON,83,83137,Appartement,65,3,
2024-02-21,Vente,82710.0,2668.064516129032,83000,TOULON,83,83137,Appartement,31,1,
2024-02-22,Vente,110000.0,3333.3333333333335,83000,TOULON,83,83137,Appartement,33,1,
2024-02-22,Vente,222000.0,3523.809523809524,83200,TOULON,83,83137,Appartement,63,3,
2024-02-22,Vente,378000.0,3937.5,83200,TOULON,83,83137,Maison,96,4,377.0
2024-02-22,Vente,106000.0,1232.5581395348838,83200,TOULON,83,83137,Appartement,86,5,
2024-02-22,Vente,167661.0,2395.157142857143,83000,TOULON,83,83137,Appartement,70,4,
2024-02-22,Vente,158370.0,1779.438202247191,83100,TOULON,83,83137,Appartement,89,5,
2024-02-22,Vente,146000.0,2056.3380281690143,83100,TOULON,83,83137,Appartement,71,3,
2024-02-22,Vente,82000.0,2157.8947368421054,83000,TOULON,83,83137,Appartement,38,3,
2024-02-23,Vente,145000.0,2543.8596491228072,83000,TOULON,83,83137,Appartement,57,3,
2024-02-23,Vente,75000.0,2586.206896551724,83200,TOULON,83,83137,Appartement,29,1,
2024-02-23,Vente,450400.0,10985.365853658537,83100,TOULON,83,83137,Appartement,41,2,488.0
2024-02-23,Vente,450400.0,7765.517241379311,83100,TOULON,83,83137,Appartement,58,3,488.0
2024-02-23,Vente,225000.0,3260.8695652173915,83000,TOULON,83,83137,Appartement,69,4,
2024-02-23,Vente,80000.0,1600.0,83000,TOULON,83,83137,Appartement,50,2,
2024-02-23,Vente,676410.0,5326.062992125984,83200,TOULON,83,83137,Maison,127,4,524.0
2024-02-23,Vente,379950.0,4749.375,83200,TOULON,83,83137,Maison,80,4,256.0
2024-02-23,Vente,118000.0,2565.217391304348,83100,TOULON,83,83137,Maison,46,3,150.0
2024-02-23,Vente,190000.0,4222.222222222223,83100,TOULON,83,83137,Appartement,45,2,
2024-02-23,Vente,107070.0,4282.8,83100,TOULON,83,83137,Appartement,25,2,
2024-02-23,Vente,240000.0,3692.3076923076924,83000,TOULON,83,83137,Appartement,65,3,
2024-02-23,Vente,143000.0,3404.7619047619046,83200,TOULON,83,83137,Appartement,42,2,
2024-02-23,Vente,60000.0,4000.0,83000,TOULON,83,83137,Appartement,15,1,
2024-02-23,Vente,231150.0,3556.153846153846,83200,TOULON,83,83137,Appartement,65,4,
2024-02-24,Vente,100000.0,1449.2753623188405,83000,TOULON,83,83137,Maison,69,4,102.0
2024-02-26,Vente,135000.0,2872.340425531915,83200,TOULON,83,83137,Appartement,47,2,
2024-02-26,Vente,150000.0,2884.6153846153848,83000,TOULON,83,83137,Appartement,52,2,
2024-02-26,Vente,253660.0,3093.4146341463415,83200,TOULON,83,83137,Appartement,82,5,
2024-02-26,Vente,223355.0,2189.7549019607845,83000,TOULON,83,83137,Appartement,102,4,
2024-02-26,Vente,67000.0,2392.8571428571427,83000,TOULON,83,83137,Appartement,28,2,
2024-02-26,Vente,258718.0,2463.980952380952,83000,TOULON,83,83137,Appartement,105,6,
2024-02-26,Vente,140000.0,2641.509433962264,83100,TOULON,83,83137,Appartement,53,3,
2024-02-26,Vente,263720.0,4469.830508474576,83100,TOULON,83,83137,Appartement,59,3,
2024-02-27,Vente,755000.0,6863.636363636364,83200,TOULON,83,83137,Appartement,110,3,1180.0
2024-02-27,Vente,70000.0,1147.5409836065573,83000,TOULON,83,83137,Appartement,61,4,
2024-02-27,Vente,70000.0,1372.549019607843,83000,TOULON,83,83137,Appartement,51,3,
2024-02-27,Vente,530000.0,7464.788732394366,83200,TOULON,83,83137,Maison,71,3,360.0
2024-02-27,Vente,114350.0,3811.6666666666665,83100,TOULON,83,83137,Appartement,30,1,
2024-02-27,Vente,180000.0,2368.4210526315787,83000,TOULON,83,83137,Appartement,76,4,
2024-02-27,Vente,755000.0,15100.0,83200,TOULON,83,83137,Appartement,50,2,1180.0
2024-02-27,Vente,477000.0,15387.09677419355,83000,TOULON,83,83137,Appartement,31,2,78.0
2024-02-27,Vente,237000.0,2962.5,83200,TOULON,83,83137,Appartement,80,4,
2024-02-27,Vente,230000.0,2705.8823529411766,83200,TOULON,83,83137,Appartement,85,4,
2024-02-28,Vente,148000.0,2055.5555555555557,83100,TOULON,83,83137,Appartement,72,5,
2024-02-28,Vente,115000.0,2017.5438596491229,83000,TOULON,83,83137,Appartement,57,3,
2024-02-29,Vente,413000.0,14241.379310344828,83000,TOULON,83,83137,Appartement,29,2,230.0
2024-02-29,Vente,570000.0,5181.818181818182,83100,TOULON,83,83137,Maison,110,5,129.0
2024-02-29,Vente,262000.0,3910.4477611940297,83200,TOULON,83,83137,Appartement,67,4,
2024-02-29,Vente,182000.0,2363.6363636363635,83100,TOULON,83,83137,Appartement,77,4,
2024-02-29,Vente,163000.0,1895.3488372093022,83000,TOULON,83,83137,Appartement,86,5,
2024-02-29,Vente,143000.0,2166.6666666666665,83200,TOULON,83,83137,Appartement,66,3,
2024-02-29,Vente,90000.0,2647.0588235294117,83000,TOULON,83,83137,Appartement,34,1,
2024-02-29,Vente,440000.0,3464.566929133858,83200,TOULON,83,83137,Maison,127,6,600.0
2024-02-29,Vente,413000.0,10868.421052631578,83000,TOULON,83,83137,Appartement,38,2,230.0
2024-02-29,Vente,110000.0,2037.037037037037,83000,TOULON,83,83137,Appartement,54,3,
2024-02-29,Vente,281310.0,2992.659574468085,83000,TOULON,83,83137,Appartement,94,3,
2024-02-29,Vente,413000.0,7120.689655172414,83000,TOULON,83,83137,Appartement,58,3,230.0
2024-02-29,Vente,413000.0,15884.615384615385,83000,TOULON,83,83137,Appartement,26,2,230.0
2024-02-29,Vente,777900.0,5678.1021897810215,83200,TOULON,83,83137,Maison,137,6,1322.0
2024-02-29,Vente,80000.0,1290.3225806451612,83200,TOULON,83,83137,Appartement,62,4,
2024-02-29,Vente,164423.0,1981.0,83100,TOULON,83,83137,Appartement,83,3,
2024-03-01,Vente,150000.0,2941.176470588235,83000,TOULON,83,83137,Appartement,51,3,
2024-03-01,Vente,146870.0,2447.8333333333335,83000,TOULON,83,83137,Appartement,60,3,
2024-03-01,Vente,440000.0,4782.608695652174,83000,TOULON,83,83137,Maison,92,5,350.0
2024-03-01,Vente,80000.0,2857.1428571428573,83100,TOULON,83,83137,Appartement,28,1,
2024-03-04,Vente,195000.0,4333.333333333333,83200,TOULON,83,83137,Appartement,45,3,
